class,auc,sensitivity,specificity,npv,ppv,acc
Dislocation,1.000(1.000-1.000),0.663(0.125-1.000),1.000(1.000-1.000),0.991(0.978-1.000),1.000(1.000-1.000),0.991(0.978-1.000)
Spacer,1.000(0.998-1.000),0.943(0.812-1.000),1.000(1.000-1.000),0.995(0.986-1.000),1.000(1.000-1.000),0.996(0.987-1.000)
Fracture,0.979(0.961-0.992),0.766(0.609-0.905),0.970(0.944-0.990),0.960(0.929-0.985),0.816(0.667-0.938),0.939(0.909-0.965)
Good Place,0.972(0.953-0.988),0.990(0.967-1.000),0.679(0.594-0.752),0.989(0.965-1.000),0.699(0.622-0.770),0.813(0.761-0.861)
Stem Loosening,0.959(0.902-1.000),0.509(0.000-1.000),0.987(0.973-1.000),0.991(0.978-1.000),0.408(0.000-1.000),0.979(0.957-0.996)
Acetabular Loosening,0.928(0.883-0.963),0.391(0.273-0.517),0.976(0.951-0.994),0.817(0.762-0.867),0.855(0.714-0.966),0.822(0.770-0.870)
Wear,0.914(0.830-0.991),0.558(0.200-0.889),1.000(1.000-1.000),0.982(0.964-0.996),1.000(1.000-1.000),0.983(0.965-0.996)
